,creation_time,clozed_text,question,answer,title,url,paragraph
29,Wed Jun 16 02:55:19 2021,What does Archimedes' principle indicate is equal to the weight of the fluid that the body displaces?<br>{{c1::upward buoyant force}},What does Archimedes' principle indicate is equal to the weight of the fluid that the body displaces?,upward buoyant force,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Archimedes' principle indicates that the upward buoyant force that is exerted on a body immersed in a fluid\, whether fully or partially submerged\, is equal to the weight of the fluid that the body displaces. Named for Archimedes."
30,Wed Jun 16 02:55:19 2021,Who is Archimedes' principle named for?<br>{{c1::Archimedes}},Who is Archimedes' principle named for?,Archimedes,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Archimedes' principle indicates that the upward buoyant force that is exerted on a body immersed in a fluid\, whether fully or partially submerged\, is equal to the weight of the fluid that the body displaces. Named for Archimedes."
31,Wed Jun 16 02:55:28 2021,What is the name of the general theorem in number theory?<br>{{c1::Artin reciprocity law}},What is the name of the general theorem in number theory?,Artin reciprocity law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Artin reciprocity law is a general theorem in number theory that forms a central part of global class field theory. Named after Emil Artin.
32,Wed Jun 16 02:55:28 2021,Who is Artin reciprocity law named after?<br>{{c1::Emil Artin}},Who is Artin reciprocity law named after?,Emil Artin,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Artin reciprocity law is a general theorem in number theory that forms a central part of global class field theory. Named after Emil Artin.
33,Wed Jun 16 02:55:34 2021,Ashby's law of requisite variety states that the number of states of a control mechanism must be what?<br>{{c1::greater than or equal to the number of states in the system being controlled}},Ashby's law of requisite variety states that the number of states of a control mechanism must be what?,greater than or equal to the number of states in the system being controlled,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Ashby's law of requisite variety\, that the number of states of its control mechanism must be greater than or equal to the number of states in the system being controlled."
34,Wed Jun 16 02:55:45 2021,Who formulated the Three Laws of Robotics?<br>{{c1::Isaac Asimov}},Who formulated the Three Laws of Robotics?,Isaac Asimov,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Asimov's Three Laws of Robotics formulated by Isaac Asimov:<br>A robot may not injure a human being or\, through inaction\, allow a human being to come to harm.<br>A robot must obey the orders given it by human beings\, except where such orders would conflict with the First Law.<br>A robot must protect its own existence as long as such protection does not conflict with the First or Second Laws."
35,Wed Jun 16 02:55:45 2021,What law does a robot not obey unless it conflicts with?<br>{{c1::the First Law}},What law does a robot not obey unless it conflicts with?,the First Law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Asimov's Three Laws of Robotics formulated by Isaac Asimov:<br>A robot may not injure a human being or\, through inaction\, allow a human being to come to harm.<br>A robot must obey the orders given it by human beings\, except where such orders would conflict with the First Law.<br>A robot must protect its own existence as long as such protection does not conflict with the First or Second Laws."
36,Wed Jun 16 02:55:46 2021,What must a robot do if it does not conflict with the First or Second Laws?<br>{{c1::protect its own existence}},What must a robot do if it does not conflict with the First or Second Laws?,protect its own existence,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Asimov's Three Laws of Robotics formulated by Isaac Asimov:<br>A robot may not injure a human being or\, through inaction\, allow a human being to come to harm.<br>A robot must obey the orders given it by human beings\, except where such orders would conflict with the First Law.<br>A robot must protect its own existence as long as such protection does not conflict with the First or Second Laws."
37,Wed Jun 16 02:55:50 2021,What law does a robot have to obey?<br>{{c1::First Law}},What law does a robot have to obey?,First Law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"A robot must obey the orders given it by human beings\, except where such orders would conflict with the First Law."
38,Wed Jun 16 02:55:55 2021,What laws must a robot not conflict with?<br>{{c1::First or Second Laws}},What laws must a robot not conflict with?,First or Second Laws,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,A robot must protect its own existence as long as such protection does not conflict with the First or Second Laws.
39,Wed Jun 16 02:56:00 2021,How many hours a day can you fall twice as far behind your commitments?<br>{{c1::ten}},How many hours a day can you fall twice as far behind your commitments?,ten,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,The Asimov corollary to Parkinson's law: In ten hours a day you have time to fall twice as far behind your commitments as in five hours a day.
40,Wed Jun 16 02:56:05 2021,What law states that software that can be written in JavaScript will eventually be written in JavaScript?<br>{{c1::Atwood's law}},What law states that software that can be written in JavaScript will eventually be written in JavaScript?,Atwood's law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Atwood's law: Any software that can be written in JavaScript will eventually be written in JavaScript.
41,Wed Jun 16 02:56:09 2021,Who were Augustine's laws named for?<br>{{c1::Norman R. Augustine}},Who were Augustine's laws named for?,Norman R. Augustine,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Augustine's laws on air force management. Named for Norman R. Augustine.
42,Wed Jun 16 02:56:15 2021,"What is the name of the law that states that equal volumes of all gases, at the same temperature and pressure, have the same number of molecules?<br>{{c1::Avogadro's law}}","What is the name of the law that states that equal volumes of all gases, at the same temperature and pressure, have the same number of molecules?",Avogadro's law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Avogadro's law\, one of the gas laws\, states that: ""equal volumes of all gases\, at the same temperature and pressure\, have the same number of molecules."""
43,Wed Jun 16 02:56:22 2021,In what discipline is Babinet's principle found?<br>{{c1::physics}},In what discipline is Babinet's principle found?,physics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Babinet's principle\, in physics\, states that the diffraction pattern from an opaque body is identical to that from a hole of the same size and shape except for the overall forward beam intensity. Named for Jacques Babinet."
44,Wed Jun 16 02:56:22 2021,Who is Babinet's principle named for?<br>{{c1::Jacques Babinet}},Who is Babinet's principle named for?,Jacques Babinet,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Babinet's principle\, in physics\, states that the diffraction pattern from an opaque body is identical to that from a hole of the same size and shape except for the overall forward beam intensity. Named for Jacques Babinet."
45,Wed Jun 16 02:56:26 2021,What do Baldwin's rules predict in organic synthesis?<br>{{c1::ring-closing reactions}},What do Baldwin's rules predict in organic synthesis?,ring-closing reactions,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Baldwin's rules predict feasibility of ring-closing reactions in organic synthesis\, proposed by Jack Baldwin."
46,Wed Jun 16 02:56:33 2021,Who proposed Barlow's law?<br>{{c1::Peter Barlow}},Who proposed Barlow's law?,Peter Barlow,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Barlow's law was an incorrect physical law proposed by Peter Barlow in 1825 to describe the ability of wires to conduct electricity.
47,Wed Jun 16 02:56:33 2021,In what year was Barlow's law proposed?<br>{{c1::1825}},In what year was Barlow's law proposed?,1825,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Barlow's law was an incorrect physical law proposed by Peter Barlow in 1825 to describe the ability of wires to conduct electricity.
48,Wed Jun 16 02:56:37 2021,What is Bayes' theorem based on?<br>{{c1::prior knowledge of conditions that might be related to the event}},What is Bayes' theorem based on?,prior knowledge of conditions that might be related to the event,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Bayes' theorem describes the probability of an event\, based on prior knowledge of conditions that might be related to the event."
49,Wed Jun 16 02:56:44 2021,What does Beckstrom's law state?<br>{{c1::the value of a network equals the net value added to each user's transactions conducted through that network}},What does Beckstrom's law state?,the value of a network equals the net value added to each user's transactions conducted through that network,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Beckstrom's law\, in economics\, states that the value of a network equals the net value added to each user's transactions conducted through that network\, summed over all users. Named for Rod Beckstrom."
50,Wed Jun 16 02:56:44 2021,Who is Beckstrom's law named for?<br>{{c1::Rod Beckstrom}},Who is Beckstrom's law named for?,Rod Beckstrom,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Beckstrom's law\, in economics\, states that the value of a network equals the net value added to each user's transactions conducted through that network\, summed over all users. Named for Rod Beckstrom."
51,Wed Jun 16 02:56:53 2021,What field of study is the Beer-Lambert law?<br>{{c1::optics}},What field of study is the Beer-Lambert law?,optics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Beer–Lambert law: in optics\, the empirical relationship of the absorption of light to the properties of the material through which the light is traveling. Independently discovered (in various forms) by Pierre Bouguer in 1729\, Johann Heinrich Lambert in 1760 and August Beer in 1852."
52,Wed Jun 16 02:56:53 2021,When was the Beer-Lambert law discovered?<br>{{c1::1852}},When was the Beer-Lambert law discovered?,1852,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Beer–Lambert law: in optics\, the empirical relationship of the absorption of light to the properties of the material through which the light is traveling. Independently discovered (in various forms) by Pierre Bouguer in 1729\, Johann Heinrich Lambert in 1760 and August Beer in 1852."
53,Wed Jun 16 02:56:53 2021,Who discovered the Beer-Lambert law?<br>{{c1::Pierre Bouguer}},Who discovered the Beer-Lambert law?,Pierre Bouguer,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Beer–Lambert law: in optics\, the empirical relationship of the absorption of light to the properties of the material through which the light is traveling. Independently discovered (in various forms) by Pierre Bouguer in 1729\, Johann Heinrich Lambert in 1760 and August Beer in 1852."
54,Wed Jun 16 02:56:58 2021,What is the chance of a data point starting with the digit 1?<br>{{c1::30%}},What is the chance of a data point starting with the digit 1?,30%,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Benford's law : In many collections of data\, a given data point has roughly a 30% chance of starting with the digit 1."
55,Wed Jun 16 02:57:02 2021,What is inversely proportional to the amount of real information available?<br>{{c1::Passion}},What is inversely proportional to the amount of real information available?,Passion,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Benford's law of controversy: Passion is inversely proportional to the amount of real information available.
56,Wed Jun 16 02:57:08 2021,What type of theory are Bennett's laws?<br>{{c1::quantum information theory}},What type of theory are Bennett's laws?,quantum information theory,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Bennett's laws are principles in quantum information theory. Named for Charles H. Bennett.
57,Wed Jun 16 02:57:08 2021,Who are Bennett's laws named for?<br>{{c1::Charles H. Bennett}},Who are Bennett's laws named for?,Charles H. Bennett,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Bennett's laws are principles in quantum information theory. Named for Charles H. Bennett.
58,Wed Jun 16 02:57:15 2021,Where are species of smaller size found?<br>{{c1::warmer}},Where are species of smaller size found?,warmer,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Bergmann's rule: within a broadly distributed taxonomic clade\, populations and species of larger size are found in colder environments\, and species of smaller size are found in warmer regions."
59,Wed Jun 16 02:57:15 2021,What type of clade is Bergmann's rule?<br>{{c1::taxonomic}},What type of clade is Bergmann's rule?,taxonomic,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Bergmann's rule: within a broadly distributed taxonomic clade\, populations and species of larger size are found in colder environments\, and species of smaller size are found in warmer regions."
60,Wed Jun 16 02:57:19 2021,What is the name of Bernoulli's principle?<br>{{c1::fluid dynamics}},What is the name of Bernoulli's principle?,fluid dynamics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Bernoulli's principle\, in fluid dynamics\, describes the effect that flow has on pressure contributing lift to airfoils."
61,Wed Jun 16 02:57:23 2021,What word can be used to answer a headline that ends in a question mark?<br>{{c1::'no'}},What word can be used to answer a headline that ends in a question mark?,'no',List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Betteridge's law of headlines: ""any headline which ends in a question mark can be answered by the word 'no'""."
62,Wed Jun 16 02:57:31 2021,What does the Biot-Savart law describe?<br>{{c1::a steady current density}},What does the Biot-Savart law describe?,a steady current density,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Biot–Savart law describes the magnetic field set up by a steady current density. Named for Jean-Baptiste Biot and Félix Savart.
63,Wed Jun 16 02:57:31 2021,Who is the Biot-Savart law named for?<br>{{c1::Jean-Baptiste Biot and Félix Savart}},Who is the Biot-Savart law named for?,Jean-Baptiste Biot and Félix Savart,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Biot–Savart law describes the magnetic field set up by a steady current density. Named for Jean-Baptiste Biot and Félix Savart.
64,Wed Jun 16 02:57:37 2021,What does Birch's law establish?<br>{{c1::a linear relation of the compressional wave velocity of rocks and minerals of a constant average atomic weight}},What does Birch's law establish?,a linear relation of the compressional wave velocity of rocks and minerals of a constant average atomic weight,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Birch's law\, in geophysics\, establishes a linear relation of the compressional wave velocity of rocks and minerals of a constant average atomic weight. Named after Francis Birch."
65,Wed Jun 16 02:57:37 2021,Who was Birch's law named after?<br>{{c1::Francis Birch}},Who was Birch's law named after?,Francis Birch,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Birch's law\, in geophysics\, establishes a linear relation of the compressional wave velocity of rocks and minerals of a constant average atomic weight. Named after Francis Birch."
66,Wed Jun 16 02:57:44 2021,In what field is Born's law found?<br>{{c1::quantum mechanics}},In what field is Born's law found?,quantum mechanics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Born's law\, in quantum mechanics\, gives the probability that a measurement on a quantum system will yield a given result. Named after physicist Max Born."
67,Wed Jun 16 02:57:44 2021,Who is Born's law named after?<br>{{c1::Max Born}},Who is Born's law named after?,Max Born,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Born's law\, in quantum mechanics\, gives the probability that a measurement on a quantum system will yield a given result. Named after physicist Max Born."
68,Wed Jun 16 02:57:52 2021,Boyle's law states that the volume and pressure of an ideal gas of fixed mass held at a constant temperature are what?<br>{{c1::inversely proportional}},Boyle's law states that the volume and pressure of an ideal gas of fixed mass held at a constant temperature are what?,inversely proportional,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Boyle's law\, in physics\, one of the gas laws\, states that the volume and pressure of an ideal gas of fixed mass held at a constant temperature are inversely proportional\, or\, that the product of absolute pressure and volume of a fixed mass is always constant. Discovered by and named after Robert Boyle (1627–1691)."
69,Wed Jun 16 02:57:52 2021,Who was Boyle's law named after?<br>{{c1::Robert Boyle}},Who was Boyle's law named after?,Robert Boyle,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Boyle's law\, in physics\, one of the gas laws\, states that the volume and pressure of an ideal gas of fixed mass held at a constant temperature are inversely proportional\, or\, that the product of absolute pressure and volume of a fixed mass is always constant. Discovered by and named after Robert Boyle (1627–1691)."
70,Wed Jun 16 02:57:58 2021,Who described Bradford's law?<br>{{c1::Samuel C. Bradford}},Who described Bradford's law?,Samuel C. Bradford,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Bradford's law is a pattern described by Samuel C. Bradford in 1934 that estimates the exponentially diminishing returns of extending a library search.
71,Wed Jun 16 02:57:58 2021,When was Bradford's law described?<br>{{c1::1934}},When was Bradford's law described?,1934,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Bradford's law is a pattern described by Samuel C. Bradford in 1934 that estimates the exponentially diminishing returns of extending a library search.
72,Wed Jun 16 02:58:01 2021,In what discipline is Bragg's law found?<br>{{c1::physics}},In what discipline is Bragg's law found?,physics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Bragg's law\, in physics\, gives the angles for coherent and incoherent scattering from a crystal lattice."
73,Wed Jun 16 02:58:08 2021,How much energy is needed to refute a lie?<br>{{c1::an order of magnitude bigger than to produce it}},How much energy is needed to refute a lie?,an order of magnitude bigger than to produce it,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Brandolini's law: The amount of energy needed to refute a lie is an order of magnitude bigger than to produce it. Named after Italian programmer Alberto Brandolini.
74,Wed Jun 16 02:58:08 2021,Who is Brandolini's law named after?<br>{{c1::Alberto Brandolini}},Who is Brandolini's law named after?,Alberto Brandolini,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Brandolini's law: The amount of energy needed to refute a lie is an order of magnitude bigger than to produce it. Named after Italian programmer Alberto Brandolini.
75,Wed Jun 16 02:58:15 2021,What is Brewster's law?<br>{{c1::a transparent dielectric surface}},What is Brewster's law?,a transparent dielectric surface,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Brewster's law\, an angle of incidence at which light with a particular polarization is perfectly transmitted through a transparent dielectric surface\, with no reflection. Named after Scottish physicist David Brewster."
76,Wed Jun 16 02:58:15 2021,Who is Brewster's law named after?<br>{{c1::David Brewster}},Who is Brewster's law named after?,David Brewster,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Brewster's law\, an angle of incidence at which light with a particular polarization is perfectly transmitted through a transparent dielectric surface\, with no reflection. Named after Scottish physicist David Brewster."
77,Wed Jun 16 02:58:21 2021,What does Briffault's law say a female can't do?<br>{{c1::no benefit from association with the male}},What does Briffault's law say a female can't do?,no benefit from association with the male,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Briffault's law: ""The female\, not the male\, determines all the conditions of the animal family. Where the female can derive no benefit from association with the male\, no such association takes place."" Named after Robert Briffault."
78,Wed Jun 16 02:58:21 2021,Who was Briffault's law named after?<br>{{c1::Robert Briffault}},Who was Briffault's law named after?,Robert Briffault,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Briffault's law: ""The female\, not the male\, determines all the conditions of the animal family. Where the female can derive no benefit from association with the male\, no such association takes place."" Named after Robert Briffault."
79,Wed Jun 16 02:58:29 2021,Who wrote The Mythical Man-Month?<br>{{c1::Fred Brooks}},Who wrote The Mythical Man-Month?,Fred Brooks,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Brooks's law: ""Adding manpower to a late software project makes it later."" Named after Fred Brooks\, author of the well known book on project management The Mythical Man-Month."
80,Wed Jun 16 02:58:29 2021,What is the name of the well known book on project management by Fred Brooks?<br>{{c1::The Mythical Man-Month}},What is the name of the well known book on project management by Fred Brooks?,The Mythical Man-Month,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Brooks's law: ""Adding manpower to a late software project makes it later."" Named after Fred Brooks\, author of the well known book on project management The Mythical Man-Month."
81,Wed Jun 16 02:58:36 2021,What is Buys Ballot's law concerned with?<br>{{c1::the wind}},What is Buys Ballot's law concerned with?,the wind,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Buys Ballot's law is concerned with the notion that the wind travels counterclockwise around low pressure zones in the Northern Hemisphere. Named for C. H. D. Buys Ballot\, who published an empirical validation of an existing theory\, in 1857."
